MemoryAddress: 580
Unit Of Measure: FT
Calibration Factor #1: 8021
Calibration Factor #2: 14914
Logger ID: #B08826
Job Number: TWISP
Well Number: BAROM
Depth Below Datum : 0000.01
Sampling Interval: 1 hrs.
Start Date: 19/10/31 14:56:18
   Date          Time       Uncomp. HT. WTR  Comp. HT. WTR      Comp. DEPTH WTR  Temp.    Comp. Flag
                                       Above Transd.         Above Transd.           To Datum                  °C 
19/10/31   14:56:18            31.571                0.004                          0.006                     21.31         0
19/10/31   15:00:00            31.554              -0.013                          0.023                     23.31          0
19/10/31   16:00:00           31.583                   0.017                   -0.007                21.69   0
19/10/31   17:00:00           31.596                   0.029                   -0.019                21.25   0
19/10/31   18:00:00           31.613                   0.046                   -0.036                22.06   0
19/10/31   19:00:00           31.629                   0.063                   -0.053                22.56   0
19/10/31   20:00:00           31.667                   0.101                   -0.091                22.38   0
19/10/31   21:00:00           31.684                   0.118                   -0.108                22.06   0
19/10/31   22:00:00           31.718                   0.151                   -0.141                21.75   0
19/10/31   23:00:00           31.743                   0.177                   -0.167                21.50   0
19/11/01   00:00:00           31.751                   0.185                   -0.175                21.19   0
19/11/01   01:00:00           31.773                   0.206                   -0.196                20.88   0
19/11/01   02:00:00           31.789                   0.223                   -0.213                20.69   0
19/11/01   03:00:00           31.798                   0.231                   -0.221                20.44   0
19/11/01   04:00:00           31.802                   0.236                   -0.226                20.25   0
19/11/01   05:00:00           31.810                   0.244                   -0.234                20.06   0
19/11/01   06:00:00           31.806                   0.240                   -0.230                20.81   0
19/11/01   07:00:00           31.806                   0.240                   -0.230                23.63   0
19/11/01   08:00:00           31.836                   0.269                   -0.259                23.88   0
19/11/01   09:00:00           31.852                   0.286                   -0.276                23.19   0
19/11/01   10:00:00           31.840                   0.273                   -0.263                22.56   0
19/11/01   11:00:00           31.827                   0.261                   -0.251                22.13   0
19/11/01   12:00:00           31.827                   0.261                   -0.251                21.81   0
19/11/01   13:00:00           31.781                   0.215                   -0.205                22.50   0
19/11/01   14:00:00           31.751                   0.185                   -0.175                22.94   0
19/11/01   15:00:00           31.730                   0.164                   -0.154                22.88   0
19/11/01   16:00:00           31.726                   0.160                   -0.150                22.69   0
19/11/01   17:00:00           31.718                   0.151                   -0.141                22.38   0
19/11/01   18:00:00           31.718                   0.151                   -0.141                22.75   0
19/11/01   19:00:00           31.718                   0.151                   -0.141                23.13   0
19/11/01   20:00:00           31.726                   0.160                   -0.150                22.88   0
19/11/01   21:00:00           31.722                   0.156                   -0.146                22.44   0
19/11/01   22:00:00           31.726                   0.160                   -0.150                22.50   0
19/11/01   23:00:00           31.718                   0.151                   -0.141                24.44   0
19/11/02   00:00:00           31.714                   0.147                   -0.137                24.44   0
19/11/02   01:00:00           31.705                   0.139                   -0.129                23.75   0
19/11/02   02:00:00           31.693                   0.126                   -0.116                22.94   0
19/11/02   03:00:00           31.684                   0.118                   -0.108                22.31   0
19/11/02   04:00:00           31.680                   0.114                   -0.104                21.75   0
19/11/02   05:00:00           31.676                   0.109                   -0.099                21.38   0
19/11/02   06:00:00           31.667                   0.101                   -0.091                21.31   0
19/11/02   07:00:00           31.659                   0.093                   -0.083                23.94   0
19/11/02   08:00:00           31.659                   0.093                   -0.083                24.56   0
19/11/02   09:00:00           31.667                   0.101                   -0.091                23.94   0
19/11/02   10:00:00           31.659                   0.093                   -0.083                23.13   0
19/11/02   11:00:00           31.642                   0.076                   -0.066                22.44   0
19/11/02   12:00:00           31.608                   0.042                   -0.032                22.00   0
19/11/02   13:00:00            31.545              -0.021                          0.031                     24.13          0
19/11/02   14:00:00            31.503              -0.063                          0.073                     25.94          0
19/11/02   15:00:00            31.465              -0.101                          0.111                     27.44          0
19/11/02   16:00:00            31.432              -0.135                          0.145                     27.25          0
19/11/02   17:00:00            31.428              -0.139                          0.149                     26.19          0
19/11/02   18:00:00            31.432              -0.135                          0.145                     25.06          0
19/11/02   19:00:00            31.444              -0.122                          0.132                     24.13          0
19/11/02   20:00:00            31.453              -0.114                          0.124                     23.38          0
19/11/02   21:00:00            31.449              -0.118                          0.128                     22.75          0
19/11/02   22:00:00            31.457              -0.109                          0.119                     22.25          0
19/11/02   23:00:00            31.461              -0.105                          0.115                     21.88          0
19/11/03   00:00:00            31.440              -0.126                          0.136                     21.50          0
19/11/03   01:00:00            31.444              -0.122                          0.132                     21.25          0
19/11/03   02:00:00            31.436              -0.130                          0.140                     21.44          0
19/11/03   03:00:00            31.440              -0.126                          0.136                     24.06          0
19/11/03   04:00:00            31.432              -0.135                          0.145                     24.50          0
19/11/03   05:00:00            31.428              -0.139                          0.149                     23.88          0
19/11/03   06:00:00            31.440              -0.126                          0.136                     23.13          0
19/11/03   07:00:00            31.432              -0.135                          0.145                     22.44          0
19/11/03   08:00:00            31.449              -0.118                          0.128                     22.06          0
19/11/03   09:00:00            31.449              -0.118                          0.128                     24.44          0
19/11/03   10:00:00            31.449              -0.118                          0.128                     25.06          0
19/11/03   11:00:00            31.440              -0.126                          0.136                     24.44          0
19/11/03   12:00:00            31.415              -0.151                          0.161                     23.69          0
19/11/03   13:00:00            31.394              -0.172                          0.182                     23.13          0
19/11/03   14:00:00            31.360              -0.206                          0.216                     22.69          0
19/11/03   15:00:00            31.352              -0.215                          0.225                     22.31          0
19/11/03   16:00:00            31.335              -0.231                          0.241                     22.00          0
19/11/03   17:00:00            31.331              -0.236                          0.246                     21.69          0
19/11/03   18:00:00            31.343              -0.223                          0.233                     21.69          0
19/11/03   19:00:00            31.339              -0.227                          0.237                     24.06          0
19/11/03   20:00:00            31.352              -0.215                          0.225                     24.56          0
19/11/03   21:00:00            31.360              -0.206                          0.216                     24.00          0
19/11/03   22:00:00            31.352              -0.215                          0.225                     23.25          0
19/11/03   23:00:00            31.373              -0.194                          0.204                     22.63          0
19/11/04   00:00:00            31.385              -0.181                          0.191                     22.06          0
19/11/04   01:00:00            31.381              -0.185                          0.195                     23.50          0
19/11/04   02:00:00            31.381              -0.185                          0.195                     25.00          0
19/11/04   03:00:00            31.381              -0.185                          0.195                     24.69          0
19/11/04   04:00:00            31.390              -0.177                          0.187                     23.88          0
