MemoryAddress: 2298
Unit Of Measure: FT
Calibration Factor #1: 8124
Calibration Factor #2: 15105
Logger ID: #B08856
Job Number: twisp
Well Number: low10
Depth Below Datum : 0000.01
Sampling Interval: 1 hrs.
Start Date: 19/10/31 15:01:09
   Date          Time       Uncomp. HT. WTR  Comp. HT. WTR      Comp. DEPTH WTR  Temp.    Comp. Flag
                                       Above Transd.         Above Transd.           To Datum                  °C 
19/10/31   15:01:09            31.497                0.004                          0.006                     23.44         0
19/10/31   16:00:00           31.526                   0.033                   -0.023                20.81   0
19/10/31   17:00:00           31.538                   0.046                   -0.036                20.75   0
19/10/31   18:00:00           31.567                   0.075                   -0.065                21.88   0
19/10/31   19:00:00           31.588                   0.096                   -0.086                22.56   0
19/10/31   20:00:00           31.613                   0.120                   -0.110                22.50   0
19/10/31   21:00:00           31.634                   0.141                   -0.131                22.13   0
19/10/31   22:00:00           31.654                   0.162                   -0.152                21.81   0
19/10/31   23:00:00           31.684                   0.191                   -0.181                21.44   0
19/11/01   00:00:00           31.696                   0.204                   -0.194                21.19   0
19/11/01   01:00:00           31.725                   0.233                   -0.223                20.88   0
19/11/01   02:00:00           31.738                   0.245                   -0.235                20.63   0
19/11/01   03:00:00           31.750                   0.258                   -0.248                20.44   0
19/11/01   04:00:00           31.750                   0.258                   -0.248                20.19   0
19/11/01   05:00:00           31.771                   0.278                   -0.268                20.00   0
19/11/01   06:00:00           31.767                   0.274                   -0.264                20.63   0
19/11/01   07:00:00           31.767                   0.274                   -0.264                23.50   0
19/11/01   08:00:00           31.804                   0.312                   -0.302                23.81   0
19/11/01   09:00:00           31.800                   0.307                   -0.297                23.13   0
19/11/01   10:00:00           31.787                   0.295                   -0.285                22.50   0
19/11/01   11:00:00           31.787                   0.295                   -0.285                22.06   0
19/11/01   12:00:00           31.783                   0.291                   -0.281                21.81   0
19/11/01   13:00:00           31.742                   0.249                   -0.239                22.50   0
19/11/01   14:00:00           31.721                   0.228                   -0.218                22.94   0
19/11/01   15:00:00           31.679                   0.187                   -0.177                22.88   0
19/11/01   16:00:00           31.692                   0.199                   -0.189                22.63   0
19/11/01   17:00:00           31.679                   0.187                   -0.177                22.38   0
19/11/01   18:00:00           31.679                   0.187                   -0.177                22.75   0
19/11/01   19:00:00           31.667                   0.174                   -0.164                23.06   0
19/11/01   20:00:00           31.688                   0.195                   -0.185                22.88   0
19/11/01   21:00:00           31.688                   0.195                   -0.185                22.38   0
19/11/01   22:00:00           31.675                   0.183                   -0.173                22.31   0
19/11/01   23:00:00           31.684                   0.191                   -0.181                24.31   0
19/11/02   00:00:00           31.675                   0.183                   -0.173                24.38   0
19/11/02   01:00:00           31.671                   0.179                   -0.169                23.69   0
19/11/02   02:00:00           31.654                   0.162                   -0.152                22.88   0
19/11/02   03:00:00           31.654                   0.162                   -0.152                22.25   0
19/11/02   04:00:00           31.646                   0.154                   -0.144                21.75   0
19/11/02   05:00:00           31.642                   0.150                   -0.140                21.31   0
19/11/02   06:00:00           31.634                   0.141                   -0.131                21.19   0
