"Plot Title: TRF Well #11"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10684920, SEN S/N: 10684920)","Temp, °F (LGR S/N: 10684920, SEN S/N: 10684920)","Sensor Depth, feet (LGR S/N: 10684920)"
1,10/24/17 04:00:00 PM,14.0858,71.168,0.198
2,10/24/17 05:00:00 PM,14.0674,66.879,0.156
3,10/24/17 06:00:00 PM,14.0597,65.680,0.138
4,10/24/17 07:00:00 PM,14.0565,64.996,0.130
5,10/24/17 08:00:00 PM,14.0524,64.139,0.121
6,10/24/17 09:00:00 PM,14.0463,63.282,0.107
7,10/24/17 10:00:00 PM,14.0325,62.598,0.075
8,10/24/17 11:00:00 PM,14.0238,62.083,0.055
9,10/25/17 12:00:00 AM,14.0131,61.569,0.030
10,10/25/17 01:00:00 AM,13.9938,61.054,-0.014
11,10/25/17 02:00:00 AM,13.9809,60.539,-0.044
12,10/25/17 03:00:00 AM,13.9610,60.368,-0.090
13,10/25/17 04:00:00 AM,13.9505,60.368,-0.114
14,10/25/17 05:00:00 AM,13.9344,60.539,-0.152
15,10/25/17 06:00:00 AM,13.9241,61.054,-0.175
16,10/25/17 07:00:00 AM,13.9129,61.398,-0.201
17,10/25/17 08:00:00 AM,13.8942,61.912,-0.244
18,10/25/17 09:00:00 AM,13.8897,62.769,-0.255
19,10/25/17 10:00:00 AM,13.8958,63.626,-0.241
20,10/25/17 11:00:00 AM,13.8993,64.825,-0.233
21,10/25/17 12:00:00 PM,13.8926,65.680,-0.248
22,10/25/17 01:00:00 PM,13.8816,66.022,-0.274
23,10/25/17 02:00:00 PM,13.8761,66.193,-0.286
24,10/25/17 03:00:00 PM,15.7653,45.104,4.073
25,10/25/17 04:00:00 PM,15.7739,44.195,4.093
26,10/25/17 05:00:00 PM,15.7942,44.013,4.139
27,10/25/17 06:00:00 PM,15.8048,44.013,4.164
28,10/25/17 07:00:00 PM,15.8111,44.013,4.178
29,10/25/17 08:00:00 PM,15.8365,44.013,4.237
30,10/25/17 09:00:00 PM,15.8513,44.013,4.271
31,10/25/17 10:00:00 PM,15.8577,44.013,4.286
32,10/25/17 11:00:00 PM,15.8663,44.013,4.306
33,10/26/17 12:00:00 AM,15.8853,44.013,4.349
34,10/26/17 01:00:00 AM,15.8938,44.013,4.369
35,10/26/17 02:00:00 AM,15.9064,44.013,4.398
36,10/26/17 03:00:00 AM,15.9150,44.013,4.418
37,10/26/17 04:00:00 AM,15.9318,44.013,4.457
38,10/26/17 05:00:00 AM,15.9446,44.013,4.486
39,10/26/17 06:00:00 AM,15.9373,43.831,4.470
40,10/26/17 07:00:00 AM,15.9437,43.831,4.484
41,10/26/17 08:00:00 AM,15.9523,43.831,4.504
42,10/26/17 09:00:00 AM,15.9565,43.831,4.514
43,10/26/17 10:00:00 AM,15.9629,43.831,4.528
44,10/26/17 11:00:00 AM,15.9692,43.831,4.543
45,10/26/17 12:00:00 PM,15.9649,43.831,4.533
46,10/26/17 01:00:00 PM,15.9523,43.831,4.504
47,10/26/17 02:00:00 PM,15.9395,43.831,4.475
48,10/26/17 03:00:00 PM,15.9331,43.831,4.460
49,10/26/17 04:00:00 PM,15.9289,43.831,4.450
50,10/26/17 05:00:00 PM,15.9395,43.831,4.475
51,10/26/17 06:00:00 PM,15.9459,43.831,4.489
52,10/26/17 07:00:00 PM,15.9523,43.831,4.504
53,10/26/17 08:00:00 PM,15.9629,43.831,4.528
54,10/26/17 09:00:00 PM,15.9620,43.648,4.526
55,10/26/17 10:00:00 PM,15.9642,43.648,4.531
56,10/26/17 11:00:00 PM,15.9684,43.648,4.541
57,10/27/17 12:00:00 AM,15.9704,43.648,4.546
58,10/27/17 01:00:00 AM,15.9726,43.648,4.551
59,10/27/17 02:00:00 AM,15.9726,43.648,4.551
60,10/27/17 03:00:00 AM,15.9747,43.648,4.556
61,10/27/17 04:00:00 AM,15.9704,43.648,4.546
62,10/27/17 05:00:00 AM,15.9704,43.648,4.546
63,10/27/17 06:00:00 AM,15.9704,43.648,4.546
64,10/27/17 07:00:00 AM,15.9684,43.648,4.541
65,10/27/17 08:00:00 AM,15.9747,43.648,4.556
66,10/27/17 09:00:00 AM,15.9790,43.648,4.566
67,10/27/17 10:00:00 AM,15.9717,43.466,4.549
68,10/27/17 11:00:00 AM,15.9611,43.466,4.524
69,10/27/17 12:00:00 PM,15.9547,43.466,4.510
70,10/27/17 01:00:00 PM,15.9421,43.466,4.481
71,10/27/17 02:00:00 PM,15.9293,43.466,4.451
72,10/27/17 03:00:00 PM,15.9230,43.466,4.436
73,10/27/17 04:00:00 PM,15.9146,43.466,4.417
74,10/27/17 05:00:00 PM,15.9167,43.466,4.422
75,10/27/17 06:00:00 PM,15.9209,43.466,4.432
76,10/27/17 07:00:00 PM,15.9273,43.466,4.446
77,10/27/17 08:00:00 PM,15.9273,43.466,4.446
78,10/27/17 09:00:00 PM,15.9293,43.466,4.451
79,10/27/17 10:00:00 PM,15.9293,43.466,4.451
80,10/27/17 11:00:00 PM,15.9336,43.466,4.461
81,10/28/17 12:00:00 AM,15.9315,43.466,4.456
82,10/28/17 01:00:00 AM,15.9315,43.466,4.456
83,10/28/17 02:00:00 AM,15.9251,43.466,4.441
84,10/28/17 03:00:00 AM,15.9201,43.282,4.430
85,10/28/17 04:00:00 AM,15.9137,43.282,4.415
86,10/28/17 05:00:00 AM,15.9073,43.282,4.400
87,10/28/17 06:00:00 AM,15.9053,43.282,4.396
88,10/28/17 07:00:00 AM,15.9031,43.282,4.391
89,10/28/17 08:00:00 AM,15.9011,43.282,4.386
90,10/28/17 09:00:00 AM,15.9011,43.282,4.386
91,10/28/17 10:00:00 AM,15.8925,43.282,4.366
92,10/28/17 11:00:00 AM,15.8799,43.282,4.337
93,10/28/17 12:00:00 PM,15.8650,43.282,4.303
94,10/28/17 01:00:00 PM,15.8481,43.282,4.264
95,10/28/17 02:00:00 PM,15.8227,43.282,4.205
96,10/28/17 03:00:00 PM,15.8142,43.282,4.185
97,10/28/17 04:00:00 PM,15.8036,43.282,4.161
98,10/28/17 05:00:00 PM,15.7994,43.282,4.151
99,10/28/17 06:00:00 PM,15.8016,43.282,4.156
100,10/28/17 07:00:00 PM,15.8058,43.282,4.166
101,10/28/17 08:00:00 PM,15.8058,43.282,4.166
102,10/28/17 09:00:00 PM,15.8100,43.282,4.176
103,10/28/17 10:00:00 PM,15.8164,43.282,4.190
104,10/28/17 11:00:00 PM,15.8197,43.099,4.198
105,10/29/17 12:00:00 AM,15.8261,43.099,4.213
106,10/29/17 01:00:00 AM,15.8239,43.099,4.208
107,10/29/17 02:00:00 AM,15.8261,43.099,4.213
108,10/29/17 03:00:00 AM,15.8303,43.099,4.223
109,10/29/17 04:00:00 AM,15.8325,43.099,4.228
110,10/29/17 05:00:00 AM,15.8325,43.099,4.228
111,10/29/17 06:00:00 AM,15.8388,43.099,4.242
112,10/29/17 07:00:00 AM,15.8451,43.099,4.257
113,10/29/17 08:00:00 AM,15.8515,43.099,4.271
114,10/29/17 09:00:00 AM,15.8557,43.099,4.281
115,10/29/17 10:00:00 AM,15.8663,43.099,4.306
116,10/29/17 11:00:00 AM,15.8663,43.099,4.306
117,10/29/17 12:00:00 PM,15.8621,43.099,4.296
118,10/29/17 01:00:00 PM,15.8557,43.099,4.281
119,10/29/17 02:00:00 PM,15.8557,43.099,4.281
120,10/29/17 03:00:00 PM,15.8642,43.099,4.301
121,10/29/17 04:00:00 PM,15.8748,43.099,4.325
122,10/29/17 05:00:00 PM,15.8854,43.099,4.350
123,10/29/17 06:00:00 PM,15.9002,43.099,4.384
124,10/29/17 07:00:00 PM,15.9214,43.099,4.433
125,10/29/17 08:00:00 PM,15.9362,43.099,4.467
126,10/29/17 09:00:00 PM,15.9510,43.099,4.501
127,10/29/17 10:00:00 PM,15.9637,43.099,4.530
128,10/29/17 11:00:00 PM,15.9765,43.099,4.560
129,10/30/17 12:00:00 AM,15.9904,42.915,4.592
130,10/30/17 01:00:00 AM,15.9904,42.915,4.592
131,10/30/17 02:00:00 AM,15.9946,42.915,4.602
132,10/30/17 03:00:00 AM,15.9990,42.915,4.612
133,10/30/17 04:00:00 AM,16.0010,42.915,4.616
134,10/30/17 05:00:00 AM,16.0010,42.915,4.616
135,10/30/17 06:00:00 AM,16.0010,42.915,4.616
136,10/30/17 07:00:00 AM,16.0032,42.915,4.621
137,10/30/17 08:00:00 AM,16.0032,42.915,4.621
138,10/30/17 09:00:00 AM,16.0010,42.915,4.616
139,10/30/17 10:00:00 AM,15.9968,42.915,4.607
140,10/30/17 11:00:00 AM,15.9884,42.915,4.587
141,10/30/17 12:00:00 PM,15.9798,42.915,4.568
142,10/30/17 01:00:00 PM,15.9629,42.915,4.528
143,10/30/17 02:00:00 PM,15.9481,42.915,4.494
144,10/30/17 03:00:00 PM,15.9291,42.915,4.450
145,10/30/17 04:00:00 PM,15.9141,42.915,4.416
146,10/30/17 05:00:00 PM,15.9185,42.915,4.426
147,10/30/17 06:00:00 PM,15.9163,42.915,4.421
148,10/30/17 07:00:00 PM,15.9163,42.915,4.421
149,10/30/17 08:00:00 PM,15.9227,42.915,4.436
150,10/30/17 09:00:00 PM,15.9205,42.915,4.431
151,10/30/17 10:00:00 PM,15.9247,42.915,4.440
152,10/30/17 11:00:00 PM,15.9227,42.915,4.436
153,10/31/17 12:00:00 AM,15.9205,42.915,4.431
154,10/31/17 01:00:00 AM,15.9121,42.915,4.411
155,10/31/17 02:00:00 AM,15.8943,42.732,4.370
156,10/31/17 03:00:00 AM,15.8900,42.732,4.360
157,10/31/17 04:00:00 AM,15.8795,42.732,4.336
158,10/31/17 05:00:00 AM,15.8710,42.732,4.317
159,10/31/17 06:00:00 AM,15.8583,42.732,4.287
160,10/31/17 07:00:00 AM,15.8541,42.732,4.277
161,10/31/17 08:00:00 AM,15.8519,42.732,4.272
162,10/31/17 09:00:00 AM,15.8351,42.732,4.234
